Year,Age,Total,Deaths,Country,DeathRate,PopProp
1970,0,4540436.49,30285,IT,0.006670063564747714,0.08513951871668671
1970,5,4550062.1,1938,IT,4.2592825271549594e-4,0.08532001233322763
1970,10,4077532.79,1686,IT,4.1348533214370545e-4,0.07645942852778649
1970,15,3786879.97,2992,IT,7.900963388601936e-4,0.0710092826523956
1970,20,3956525.41,3406,IT,8.608563441527348e-4,0.0741903713309602
1970,25,3465273.8,3195,IT,9.220050663817676e-4,0.06497871828035283
1970,30,3770407.45,4235,IT,0.0011232207808203859,0.07070039992097985
1970,35,3637671.59,5899,IT,0.0016216417161506326,0.06821141736132168
1970,40,3659473,9514,IT,0.0025998278987165637,0.06862022421476699
1970,45,3591533.73,14967,IT,0.004167300414021171,0.06734626811770394
1970,50,2401458.98,15619,IT,0.006503962853448365,0.04503070623834788
1970,55,3155711.94,32557,IT,0.010316847867933092,0.059174001524267925
1970,60,2828001.82,46541,IT,0.01645720298723146,0.05302897957388102
1970,65,2243319.95,58026,IT,0.025866127566868024,0.04206537880029717
1970,70,1624654.03,70527,IT,0.043410473059301125,0.03046452967682089
1970,75,1091268.8,78470,IT,0.07190712315792405,0.020462812469057626
1970,80,625245.46,73178,IT,0.1170388346362403,0.011724224677833427
1970,85,323907.93,68061,IT,0.21012452520072603,0.0060737255833124195
1970,0,712575.8500000001,6041.84,HU,0.008478872810522555,0.06905806678897691
1970,5,641730.05,258,HU,4.020382090569079e-4,0.0621921675473474
1970,10,794270.19,292.01,HU,3.67645674830123e-4,0.07697533368484684
1970,15,925935.07,726.1,HU,7.841802557494664e-4,0.08973540979015217
1970,20,792904.57,800.1,HU,0.0010090747742821057,0.07684298696390708
1970,25,734149.88,895.1,HU,0.001219233326034188,0.07114887691767743
1970,30,674386.3,966.1,HU,0.0014325617231548148,0.0653569920268432
1970,35,703048.52,1527.22,HU,0.002172282504769372,0.06813474193666733
1970,40,733893.48,2392.34,HU,0.003259791870613158,0.07112402835127613
1970,45,733614.57,3572.49,HU,0.004869709716915791,0.07109699826681828
1970,50,453499.71,3283.46,HU,0.007240269238540417,0.04395014686781998
1970,55,643750.92,7478.06,HU,0.011616387282211572,0.06238801669860876
1970,60,584038.07,11458.62,HU,0.019619645685083512,0.05660104821874775
1970,65,473132.72,15663.19,HU,0.033105277521284095,0.045852846371106044
1970,70,355158.94,19064.52,HU,0.053678840239809254,0.03441961974886216
1970,75,209485.18,18520.34,HU,0.08840883159371943,0.020301897056630318
1970,80,105258.48,15247.88,HU,0.14486129763606695,0.01020094512316996
1970,85,47670.22,12009.42,HU,0.2519270941061317,0.0046198776405420175
1970,0,3229171.87,21121.43,ES,0.006540819395902888,0.0955549977112275
1970,5,3204650.69,1466.18,ES,4.575163229412689e-4,0.09482938712340314
1970,10,2982592.93,1118.28,ES,3.7493550955342735e-4,0.08825843655069165
1970,15,2662721.44,1700.46,ES,6.386173087636235e-4,0.07879306253985062
1970,20,2535608.18,2248.56,ES,8.867931637608141e-4,0.07503163151129201
1970,25,2193381.81,2327.01,ES,0.001060923360169564,0.06490475028026242
1970,30,2062675.55,2596.54,ES,0.0012588213400793935,0.06103699815124889
1970,35,2395522.28,4253.83,ES,0.001775742198482078,0.07088632479094228
1970,40,2283842.75,5732.08,ES,0.002509840049189026,0.06758159600500097
1970,45,2115285.39,8230.06,ES,0.00389075632012,0.06259378526050488
1970,50,1699677.58,10221.24,ES,0.00601363465652115,0.05029546081940962
1970,55,1649670.56,15141.82,ES,0.009178693229513655,0.048815694218554986
1970,60,1509279.9,22536.23,ES,0.014931776405423541,0.044661369290976034
1970,65,1269135.11,31505.63,ES,0.02482448854480119,0.03755520220460996
1970,70,897620.41,37600.15,ES,0.04188869769572196,0.026561644804338362
1970,75,583644.45,41260.15,ES,0.07069398158416482,0.017270726467687403
1970,80,339771.77,38876.1,ES,0.11441827553831208,0.010054246726944799
1970,85,179603.72000000003,37197.20999999999,ES,0.2071071245072206,0.005314685543054711
1970,0,268316.15,1281.15,LT,0.00477477781341153,0.08549219299657737
1970,5,292771.59,167.01,LT,5.704446937628066e-4,0.09328430389372694
1970,10,288862.57,121.02,LT,4.1895355289541317e-4,0.09203879298330474
1970,15,239069.21,256.03,LT,0.0010709451041395082,0.07617339113154122
1970,20,217539.46,427.08,LT,0.001963230027324698,0.06931347777124568
1970,25,226259.46,463.09,LT,0.0020467210520170075,0.07209188646162885
1970,30,238921.96,596.09,LT,0.0024949150760357067,0.07612647362240602
1970,35,236161.55,704.1,LT,0.0029814336838490433,0.07524693840072934
1970,40,228120.18,876.12,LT,0.0038406071746918667,0.07268475809217584
1970,45,180363.69,973.12,LT,0.005395320976189831,0.05746835363825417
1970,50,115452.04,870.11,LT,0.0075365493758274005,0.03678588890578733
1970,55,134254.72,1444.17,LT,0.010756940240164369,0.04277688999689901
1970,60,154181.17,2509.33,LT,0.016275204034318844,0.04912595213548683
1970,65,122486.3,3219.39,LT,0.026283674174172947,0.03902717894184407
1970,70,87444.45,3623.36,LT,0.04143613459745016,0.02786197474836889
1970,75,55288.07,3685.34,LT,0.06665705639571069,0.017616153000288202
1970,80,32995.74,3334.24,LT,0.10105062047403696,0.010513262702021058
1970,85,19998.85,3497.2300000000005,LT,0.17487155511441912,0.00637213057771439
1970,0,735675.46,3656,BY,0.004969582647217838,0.08134524386109056
1970,5,896004.56,513,BY,5.725417290287005e-4,0.09907318294108812
1970,10,954341.46,527,BY,5.522132508001906e-4,0.1055236215034945
1970,15,785969.44,699,BY,8.893475552942619e-4,0.08690635917659233
1970,20,632687.88,910,BY,0.0014383079378729366,0.06995768200091437
1970,25,486767.1,932,BY,0.0019146733622711972,0.05382290236112518
1970,30,730105.4,1522,BY,0.002084630520470058,0.08072935015026744
1970,35,679346.47,1835,BY,0.0027011253918784624,0.07511682429684557
1970,40,704809.59,2495,BY,0.0035399631835315976,0.07793233713978343
1970,45,510852.93,2378,BY,0.0046549600880237685,0.05648612523789039
1970,50,309844.74,2131,BY,0.006877638135796658,0.0342602102486553
1970,55,407838.88,3871,BY,0.009491493307357062,0.04509563653194854
1970,60,384295.85,5958,BY,0.015503680302558564,0.042492432237790125
1970,65,315452.73,7281,BY,0.02308111265989044,0.03488029796249661
1970,70,213895.23,8250,BY,0.038570285087703916,0.023650863174196478
1970,75,141624.7,8086,BY,0.05709456048274065,0.015659752682594296
1970,80,93775.71,8468,BY,0.09030056930520707,0.010368985256347833
1970,85,60577.56,9462.009999999998,BY,0.15619661802159082,0.006698193236878996
1970,0,1921760.81,10543,TW,0.005486114580513274,0.1319458779982208
1970,5,2077374.19,1250,TW,6.017211564566517e-4,0.14263011296936207
1970,10,1968695.39,1035.01,TW,5.257339481045872e-4,0.13516835206177388
1970,15,1749222.4,1720.99,TW,9.83860028318869e-4,0.12009959001201351
1970,20,1118983.75,1571.98,TW,0.001404828264932355,0.07682813209178285
1970,25,917980.06,1506.01,TW,0.0016405694040892347,0.06302745085199205
1970,30,882549.64,1871.99,TW,0.002121115816216298,0.06059483912923258
1970,35,849297.28,2253.01,TW,0.0026527931421139136,0.05831177049088684
1970,40,828504.08,3008,TW,0.003630639936015765,0.05688413339051709
1970,45,673813.21,3783.98,TW,0.0056157699846816605,0.046263236890677115
1970,50,488601.89,4407.99,TW,0.009021639273642596,0.033546841538328646
1970,55,403370.45,5309,TW,0.013161598723952138,0.0276949492917318
1970,60,282623.85,6730.01,TW,0.023812604633331548,0.019404627171831782
1970,65,184335.99,6989,TW,0.037914462607112155,0.012656296205364521
1970,70,112890.19,6741,TW,0.05971289445079329,0.007750910081747357
1970,75,60158.07,5393,TW,0.0896471578958567,0.004130383616693915
1970,80,29157.74,3789.6,TW,0.12996892077369507,0.0020019367575426013
1970,85,15446.800000000001,3231.4,TW,0.20919543206359892,0.0010605594503006425
